,destination,Origin,Year,Month,Value,deaths
0,Canada,Afghanistan,2000,January,24,5235
1,Canada,Afghanistan,2000,February,29,5235
2,Canada,Afghanistan,2000,March,55,5235
3,Canada,Afghanistan,2000,April,18,5235
4,Canada,Afghanistan,2000,May,28,5235
5,Canada,Afghanistan,2000,June,35,5235
6,Canada,Afghanistan,2000,July,61,5235
7,Canada,Afghanistan,2000,August,47,5235
8,Canada,Afghanistan,2000,September,63,5235
9,Canada,Afghanistan,2000,October,36,5235
10,Canada,Afghanistan,2000,November,47,5235
11,Canada,Afghanistan,2000,December,28,5235
12,France,Afghanistan,2000,January,15,5235
13,France,Afghanistan,2000,February,22,5235
14,France,Afghanistan,2000,March,22,5235
15,France,Afghanistan,2000,April,11,5235
16,France,Afghanistan,2000,May,27,5235
17,France,Afghanistan,2000,June,21,5235
18,France,Afghanistan,2000,July,26,5235
19,France,Afghanistan,2000,August,23,5235
20,France,Afghanistan,2000,September,16,5235
21,France,Afghanistan,2000,October,27,5235
22,France,Afghanistan,2000,November,10,5235
23,France,Afghanistan,2000,December,20,5235
24,UK,Afghanistan,2000,January,315,5235
25,UK,Afghanistan,2000,February,450,5235
26,UK,Afghanistan,2000,March,365,5235
27,UK,Afghanistan,2000,April,425,5235
28,UK,Afghanistan,2000,May,405,5235
29,UK,Afghanistan,2000,June,365,5235
30,UK,Afghanistan,2000,July,380,5235
31,UK,Afghanistan,2000,August,475,5235
32,UK,Afghanistan,2000,September,495,5235
33,UK,Afghanistan,2000,October,535,5235
34,UK,Afghanistan,2000,November,520,5235
35,UK,Afghanistan,2000,December,490,5235
36,Germany,Afghanistan,2000,January,365,5235
37,Germany,Afghanistan,2000,February,332,5235
38,Germany,Afghanistan,2000,March,426,5235
39,Germany,Afghanistan,2000,April,253,5235
40,Germany,Afghanistan,2000,May,406,5235
41,Germany,Afghanistan,2000,June,373,5235
42,Germany,Afghanistan,2000,July,350,5235
43,Germany,Afghanistan,2000,August,461,5235
44,Germany,Afghanistan,2000,September,513,5235
45,Germany,Afghanistan,2000,October,645,5235
46,Germany,Afghanistan,2000,November,763,5235
47,Germany,Afghanistan,2000,December,512,5235
48,USA,Afghanistan,2000,January,23,5235
49,USA,Afghanistan,2000,February,20,5235
50,USA,Afghanistan,2000,March,10,5235
51,USA,Afghanistan,2000,April,19,5235
52,USA,Afghanistan,2000,May,20,5235
53,USA,Afghanistan,2000,June,15,5235
54,USA,Afghanistan,2000,July,11,5235
55,USA,Afghanistan,2000,September,22,5235
56,USA,Afghanistan,2000,October,17,5235
57,USA,Afghanistan,2000,November,29,5235
58,USA,Afghanistan,2000,December,17,5235
59,USA,Afghanistan,2000,January,12,5235
60,USA,Afghanistan,2000,February,13,5235
61,USA,Afghanistan,2000,March,12,5235
62,USA,Afghanistan,2000,April,16,5235
63,USA,Afghanistan,2000,May,10,5235
64,USA,Afghanistan,2000,June,3,5235
65,USA,Afghanistan,2000,July,6,5235
66,USA,Afghanistan,2000,August,9,5235
67,USA,Afghanistan,2000,September,12,5235
68,USA,Afghanistan,2000,October,14,5235
69,USA,Afghanistan,2000,November,8,5235
70,USA,Afghanistan,2000,December,10,5235
71,Canada,Afghanistan,2001,January,43,5308
72,Canada,Afghanistan,2001,February,35,5308
73,Canada,Afghanistan,2001,March,34,5308
74,Canada,Afghanistan,2001,April,29,5308
75,Canada,Afghanistan,2001,May,35,5308
76,Canada,Afghanistan,2001,June,22,5308
77,Canada,Afghanistan,2001,July,69,5308
78,Canada,Afghanistan,2001,August,39,5308
79,Canada,Afghanistan,2001,September,51,5308
80,Canada,Afghanistan,2001,October,51,5308
81,Canada,Afghanistan,2001,November,18,5308
82,Canada,Afghanistan,2001,December,3,5308
83,France,Afghanistan,2001,January,17,5308
84,France,Afghanistan,2001,February,32,5308
85,France,Afghanistan,2001,March,28,5308
86,France,Afghanistan,2001,April,24,5308
87,France,Afghanistan,2001,May,22,5308
88,France,Afghanistan,2001,June,11,5308
89,France,Afghanistan,2001,July,32,5308
90,France,Afghanistan,2001,August,18,5308
91,France,Afghanistan,2001,September,12,5308
92,France,Afghanistan,2001,October,35,5308
93,France,Afghanistan,2001,November,13,5308
94,France,Afghanistan,2001,December,25,5308
95,UK,Afghanistan,2001,January,570,5308
96,UK,Afghanistan,2001,February,645,5308
97,UK,Afghanistan,2001,March,705,5308
98,UK,Afghanistan,2001,April,670,5308
99,UK,Afghanistan,2001,May,855,5308
100,UK,Afghanistan,2001,June,880,5308
101,UK,Afghanistan,2001,July,805,5308
102,UK,Afghanistan,2001,August,875,5308
103,UK,Afghanistan,2001,September,715,5308
104,UK,Afghanistan,2001,October,815,5308
105,UK,Afghanistan,2001,November,670,5308
106,UK,Afghanistan,2001,December,715,5308
107,Germany,Afghanistan,2001,January,442,5308
108,Germany,Afghanistan,2001,February,352,5308
109,Germany,Afghanistan,2001,March,394,5308
110,Germany,Afghanistan,2001,April,348,5308
111,Germany,Afghanistan,2001,May,355,5308
112,Germany,Afghanistan,2001,June,325,5308
113,Germany,Afghanistan,2001,July,488,5308
114,Germany,Afghanistan,2001,August,649,5308
115,Germany,Afghanistan,2001,September,842,5308
116,Germany,Afghanistan,2001,October,678,5308
117,Germany,Afghanistan,2001,November,604,5308
118,Germany,Afghanistan,2001,December,376,5308
119,USA,Afghanistan,2001,January,24,5308
120,USA,Afghanistan,2001,February,17,5308
121,USA,Afghanistan,2001,March,30,5308
122,USA,Afghanistan,2001,April,22,5308
123,USA,Afghanistan,2001,May,19,5308
124,USA,Afghanistan,2001,June,34,5308
125,USA,Afghanistan,2001,July,27,5308
126,USA,Afghanistan,2001,August,18,5308
127,USA,Afghanistan,2001,September,27,5308
128,USA,Afghanistan,2001,October,26,5308
129,USA,Afghanistan,2001,November,32,5308
130,USA,Afghanistan,2001,December,20,5308
131,USA,Afghanistan,2001,January,8,5308
132,USA,Afghanistan,2001,February,14,5308
133,USA,Afghanistan,2001,March,14,5308
134,USA,Afghanistan,2001,April,14,5308
135,USA,Afghanistan,2001,May,19,5308
136,USA,Afghanistan,2001,June,18,5308
137,USA,Afghanistan,2001,July,8,5308
138,USA,Afghanistan,2001,August,12,5308
139,USA,Afghanistan,2001,September,15,5308
140,USA,Afghanistan,2001,October,12,5308
141,USA,Afghanistan,2001,November,15,5308
142,USA,Afghanistan,2001,December,14,5308
143,Canada,Afghanistan,2002,January,13,908
144,Canada,Afghanistan,2002,February,11,908
145,Canada,Afghanistan,2002,March,3,908
146,Canada,Afghanistan,2002,April,3,908
147,Canada,Afghanistan,2002,May,6,908
148,Canada,Afghanistan,2002,June,5,908
149,Canada,Afghanistan,2002,July,2,908
150,Canada,Afghanistan,2002,August,8,908
151,Canada,Afghanistan,2002,September,7,908
152,Canada,Afghanistan,2002,October,17,908
153,Canada,Afghanistan,2002,November,3,908
154,Canada,Afghanistan,2002,December,10,908
155,France,Afghanistan,2002,January,17,908
156,France,Afghanistan,2002,February,14,908
157,France,Afghanistan,2002,March,21,908
158,France,Afghanistan,2002,April,7,908
159,France,Afghanistan,2002,May,7,908
160,France,Afghanistan,2002,June,14,908
161,France,Afghanistan,2002,July,34,908
162,France,Afghanistan,2002,August,17,908
163,France,Afghanistan,2002,September,19,908
164,France,Afghanistan,2002,October,24,908
165,France,Afghanistan,2002,November,39,908
166,France,Afghanistan,2002,December,46,908
167,UK,Afghanistan,2002,January,926,908
168,UK,Afghanistan,2002,February,822,908
169,UK,Afghanistan,2002,March,725,908
170,UK,Afghanistan,2002,April,928,908
171,UK,Afghanistan,2002,May,842,908
172,UK,Afghanistan,2002,June,546,908
173,UK,Afghanistan,2002,July,703,908
174,UK,Afghanistan,2002,August,499,908
175,UK,Afghanistan,2002,September,614,908
176,UK,Afghanistan,2002,October,571,908
177,UK,Afghanistan,2002,November,521,908
178,UK,Afghanistan,2002,December,367,908
179,Germany,Afghanistan,2002,January,536,908
180,Germany,Afghanistan,2002,February,268,908
181,Germany,Afghanistan,2002,March,250,908
182,Germany,Afghanistan,2002,April,266,908
183,Germany,Afghanistan,2002,May,230,908
184,Germany,Afghanistan,2002,June,231,908
185,Germany,Afghanistan,2002,July,240,908
186,Germany,Afghanistan,2002,August,170,908
187,Germany,Afghanistan,2002,September,176,908
188,Germany,Afghanistan,2002,October,143,908
189,Germany,Afghanistan,2002,November,130,908
190,Germany,Afghanistan,2002,December,139,908
191,USA,Afghanistan,2002,January,16,908
192,USA,Afghanistan,2002,March,11,908
193,USA,Afghanistan,2002,May,10,908
194,USA,Afghanistan,2002,December,8,908
195,USA,Afghanistan,2002,January,9,908
196,USA,Afghanistan,2002,February,12,908
197,USA,Afghanistan,2002,March,5,908
198,USA,Afghanistan,2002,April,4,908
199,USA,Afghanistan,2002,May,11,908
200,USA,Afghanistan,2002,June,3,908
201,USA,Afghanistan,2002,July,3,908
202,USA,Afghanistan,2002,August,5,908
203,USA,Afghanistan,2002,September,4,908
204,USA,Afghanistan,2002,October,3,908
205,USA,Afghanistan,2002,November,7,908
206,USA,Afghanistan,2002,December,7,908
207,Canada,Afghanistan,2003,January,1,714
208,Canada,Afghanistan,2003,February,12,714
209,Canada,Afghanistan,2003,March,5,714
210,Canada,Afghanistan,2003,April,11,714
211,Canada,Afghanistan,2003,May,7,714
212,Canada,Afghanistan,2003,June,6,714
213,Canada,Afghanistan,2003,July,13,714
214,Canada,Afghanistan,2003,August,15,714
215,Canada,Afghanistan,2003,September,12,714
216,Canada,Afghanistan,2003,October,15,714
217,Canada,Afghanistan,2003,November,19,714
218,Canada,Afghanistan,2003,December,5,714
219,France,Afghanistan,2003,January,41,714
220,France,Afghanistan,2003,February,29,714
221,France,Afghanistan,2003,March,69,714
222,France,Afghanistan,2003,April,48,714
223,France,Afghanistan,2003,May,32,714
224,France,Afghanistan,2003,June,43,714
225,France,Afghanistan,2003,July,31,714
226,France,Afghanistan,2003,August,5,714
227,France,Afghanistan,2003,September,8,714
228,France,Afghanistan,2003,October,21,714
229,France,Afghanistan,2003,November,12,714
230,France,Afghanistan,2003,December,7,714
231,UK,Afghanistan,2003,January,443,714
232,UK,Afghanistan,2003,February,337,714
233,UK,Afghanistan,2003,March,274,714
234,UK,Afghanistan,2003,April,227,714
235,UK,Afghanistan,2003,May,146,714
236,UK,Afghanistan,2003,June,176,714
237,UK,Afghanistan,2003,July,152,714
238,UK,Afghanistan,2003,August,152,714
239,UK,Afghanistan,2003,September,226,714
240,UK,Afghanistan,2003,October,190,714
241,UK,Afghanistan,2003,November,137,714
242,UK,Afghanistan,2003,December,131,714
243,Germany,Afghanistan,2003,January,211,714
244,Germany,Afghanistan,2003,February,119,714
245,Germany,Afghanistan,2003,March,120,714
246,Germany,Afghanistan,2003,April,127,714
247,Germany,Afghanistan,2003,May,121,714
248,Germany,Afghanistan,2003,June,87,714
249,Germany,Afghanistan,2003,July,153,714
250,Germany,Afghanistan,2003,August,86,714
251,Germany,Afghanistan,2003,September,144,714
252,Germany,Afghanistan,2003,October,120,714
253,Germany,Afghanistan,2003,November,104,714
254,Germany,Afghanistan,2003,December,75,714
255,USA,Afghanistan,2003,May,5,714
256,USA,Afghanistan,2003,January,8,714
257,USA,Afghanistan,2003,February,3,714
258,USA,Afghanistan,2003,March,1,714
259,USA,Afghanistan,2003,April,8,714
260,USA,Afghanistan,2003,May,7,714
261,USA,Afghanistan,2003,June,3,714
262,USA,Afghanistan,2003,July,5,714
263,USA,Afghanistan,2003,August,2,714
264,USA,Afghanistan,2003,September,3,714
265,USA,Afghanistan,2003,October,6,714
266,USA,Afghanistan,2003,November,5,714
267,USA,Afghanistan,2003,December,1,714
268,Canada,Afghanistan,2004,January,12,1089
269,Canada,Afghanistan,2004,February,5,1089
270,Canada,Afghanistan,2004,March,15,1089
271,Canada,Afghanistan,2004,April,8,1089
272,Canada,Afghanistan,2004,May,6,1089
273,Canada,Afghanistan,2004,June,12,1089
274,Canada,Afghanistan,2004,July,3,1089
275,Canada,Afghanistan,2004,August,10,1089
276,Canada,Afghanistan,2004,September,18,1089
277,Canada,Afghanistan,2004,October,12,1089
278,Canada,Afghanistan,2004,November,15,1089
279,Canada,Afghanistan,2004,December,12,1089
280,France,Afghanistan,2004,January,16,1089
281,France,Afghanistan,2004,February,12,1089
282,France,Afghanistan,2004,March,22,1089
283,France,Afghanistan,2004,April,13,1089
284,France,Afghanistan,2004,May,12,1089
285,France,Afghanistan,2004,June,15,1089
286,France,Afghanistan,2004,July,6,1089
287,France,Afghanistan,2004,August,17,1089
288,France,Afghanistan,2004,September,10,1089
289,France,Afghanistan,2004,October,16,1089
290,France,Afghanistan,2004,November,12,1089
291,France,Afghanistan,2004,December,13,1089
292,UK,Afghanistan,2004,January,104,1089
293,UK,Afghanistan,2004,February,120,1089
294,UK,Afghanistan,2004,March,117,1089
295,UK,Afghanistan,2004,April,101,1089
296,UK,Afghanistan,2004,May,99,1089
297,UK,Afghanistan,2004,June,201,1089
298,UK,Afghanistan,2004,July,167,1089
299,UK,Afghanistan,2004,August,137,1089
300,UK,Afghanistan,2004,September,144,1089
301,UK,Afghanistan,2004,October,113,1089
302,UK,Afghanistan,2004,November,168,1089
303,UK,Afghanistan,2004,December,134,1089
304,Germany,Afghanistan,2004,January,123,1089
305,Germany,Afghanistan,2004,February,98,1089
306,Germany,Afghanistan,2004,March,68,1089
307,Germany,Afghanistan,2004,April,91,1089
308,Germany,Afghanistan,2004,May,68,1089
309,Germany,Afghanistan,2004,June,74,1089
310,Germany,Afghanistan,2004,July,52,1089
311,Germany,Afghanistan,2004,August,66,1089
312,Germany,Afghanistan,2004,September,59,1089
313,Germany,Afghanistan,2004,October,81,1089
314,Germany,Afghanistan,2004,November,60,1089
315,Germany,Afghanistan,2004,December,72,1089
316,USA,Afghanistan,2004,January,1,1089
317,USA,Afghanistan,2004,February,1,1089
318,USA,Afghanistan,2004,March,7,1089
319,USA,Afghanistan,2004,April,4,1089
320,USA,Afghanistan,2004,May,2,1089
321,USA,Afghanistan,2004,June,4,1089
322,USA,Afghanistan,2004,July,2,1089
323,USA,Afghanistan,2004,August,2,1089
324,USA,Afghanistan,2004,September,6,1089
325,USA,Afghanistan,2004,October,5,1089
326,USA,Afghanistan,2004,November,4,1089
327,USA,Afghanistan,2004,December,1,1089
328,Canada,Afghanistan,2005,January,17,1736
329,Canada,Afghanistan,2005,February,15,1736
330,Canada,Afghanistan,2005,March,4,1736
331,Canada,Afghanistan,2005,April,16,1736
332,Canada,Afghanistan,2005,May,4,1736
333,Canada,Afghanistan,2005,June,29,1736
334,Canada,Afghanistan,2005,July,39,1736
335,Canada,Afghanistan,2005,August,20,1736
336,Canada,Afghanistan,2005,September,31,1736
337,Canada,Afghanistan,2005,October,28,1736
338,Canada,Afghanistan,2005,November,22,1736
339,Canada,Afghanistan,2005,December,13,1736
340,France,Afghanistan,2005,January,5,1736
341,France,Afghanistan,2005,February,13,1736
342,France,Afghanistan,2005,March,13,1736
343,France,Afghanistan,2005,April,3,1736
344,France,Afghanistan,2005,May,7,1736
345,France,Afghanistan,2005,June,18,1736
346,France,Afghanistan,2005,July,12,1736
347,France,Afghanistan,2005,August,17,1736
348,France,Afghanistan,2005,September,10,1736
349,France,Afghanistan,2005,October,19,1736
350,France,Afghanistan,2005,November,10,1736
351,France,Afghanistan,2005,December,8,1736
352,UK,Afghanistan,2005,January,149,1736
353,UK,Afghanistan,2005,February,84,1736
354,UK,Afghanistan,2005,March,93,1736
355,UK,Afghanistan,2005,April,127,1736
356,UK,Afghanistan,2005,May,170,1736
357,UK,Afghanistan,2005,June,161,1736
358,UK,Afghanistan,2005,July,103,1736
359,UK,Afghanistan,2005,August,164,1736
360,UK,Afghanistan,2005,September,156,1736
361,UK,Afghanistan,2005,October,192,1736
362,UK,Afghanistan,2005,November,180,1736
363,UK,Afghanistan,2005,December,194,1736
364,Germany,Afghanistan,2005,January,53,1736
365,Germany,Afghanistan,2005,February,46,1736
366,Germany,Afghanistan,2005,March,36,1736
367,Germany,Afghanistan,2005,April,66,1736
368,Germany,Afghanistan,2005,May,72,1736
369,Germany,Afghanistan,2005,June,79,1736
370,Germany,Afghanistan,2005,July,54,1736
371,Germany,Afghanistan,2005,August,40,1736
372,Germany,Afghanistan,2005,September,65,1736
373,Germany,Afghanistan,2005,October,45,1736
374,Germany,Afghanistan,2005,November,58,1736
375,Germany,Afghanistan,2005,December,71,1736
376,USA,Afghanistan,2005,January,2,1736
377,USA,Afghanistan,2005,March,2,1736
378,USA,Afghanistan,2005,April,2,1736
379,USA,Afghanistan,2005,May,4,1736
380,USA,Afghanistan,2005,June,2,1736
381,USA,Afghanistan,2005,July,1,1736
382,USA,Afghanistan,2005,August,1,1736
383,USA,Afghanistan,2005,September,1,1736
384,USA,Afghanistan,2005,October,3,1736
385,USA,Afghanistan,2005,November,4,1736
386,USA,Afghanistan,2005,December,5,1736
387,USA,Afghanistan,2005,January,4,1736
388,USA,Afghanistan,2005,March,2,1736
389,USA,Afghanistan,2005,April,2,1736
390,USA,Afghanistan,2005,May,1,1736
391,USA,Afghanistan,2005,June,2,1736
392,USA,Afghanistan,2005,July,1,1736
393,USA,Afghanistan,2005,August,2,1736
394,USA,Afghanistan,2005,September,1,1736
395,USA,Afghanistan,2005,October,2,1736
396,USA,Afghanistan,2005,November,1,1736
397,USA,Afghanistan,2005,December,2,1736
398,Canada,Afghanistan,2006,January,30,4980
399,Canada,Afghanistan,2006,February,22,4980
400,Canada,Afghanistan,2006,March,14,4980
401,Canada,Afghanistan,2006,April,6,4980
402,Canada,Afghanistan,2006,May,24,4980
403,Canada,Afghanistan,2006,June,5,4980
404,Canada,Afghanistan,2006,July,19,4980
405,Canada,Afghanistan,2006,August,21,4980
406,Canada,Afghanistan,2006,September,28,4980
407,Canada,Afghanistan,2006,October,28,4980
408,Canada,Afghanistan,2006,November,16,4980
409,Canada,Afghanistan,2006,December,16,4980
410,France,Afghanistan,2006,January,9,4980
411,France,Afghanistan,2006,February,9,4980
412,France,Afghanistan,2006,March,4,4980
413,France,Afghanistan,2006,April,5,4980
414,France,Afghanistan,2006,May,5,4980
415,France,Afghanistan,2006,June,4,4980
416,France,Afghanistan,2006,July,3,4980
417,France,Afghanistan,2006,August,8,4980
418,France,Afghanistan,2006,September,8,4980
419,France,Afghanistan,2006,October,14,4980
420,France,Afghanistan,2006,November,8,4980
421,France,Afghanistan,2006,December,5,4980
422,UK,Afghanistan,2006,January,205,4980
423,UK,Afghanistan,2006,February,200,4980
424,UK,Afghanistan,2006,March,158,4980
425,UK,Afghanistan,2006,April,179,4980
426,UK,Afghanistan,2006,May,247,4980
427,UK,Afghanistan,2006,June,193,4980
428,UK,Afghanistan,2006,July,246,4980
429,UK,Afghanistan,2006,August,226,4980
430,UK,Afghanistan,2006,September,223,4980
431,UK,Afghanistan,2006,October,285,4980
432,UK,Afghanistan,2006,November,273,4980
433,UK,Afghanistan,2006,December,213,4980
434,Germany,Afghanistan,2006,January,50,4980
435,Germany,Afghanistan,2006,February,51,4980
436,Germany,Afghanistan,2006,March,64,4980
437,Germany,Afghanistan,2006,April,43,4980
438,Germany,Afghanistan,2006,May,53,4980
439,Germany,Afghanistan,2006,June,29,4980
440,Germany,Afghanistan,2006,July,43,4980
441,Germany,Afghanistan,2006,August,48,4980
442,Germany,Afghanistan,2006,September,36,4980
443,Germany,Afghanistan,2006,October,42,4980
444,Germany,Afghanistan,2006,November,24,4980
445,Germany,Afghanistan,2006,December,42,4980
446,USA,Afghanistan,2006,January,1,4980
447,USA,Afghanistan,2006,February,3,4980
448,USA,Afghanistan,2006,April,6,4980
449,USA,Afghanistan,2006,May,3,4980
450,USA,Afghanistan,2006,June,1,4980
451,USA,Afghanistan,2006,July,5,4980
452,USA,Afghanistan,2006,August,4,4980
453,USA,Afghanistan,2006,September,4,4980
454,USA,Afghanistan,2006,October,5,4980
455,USA,Afghanistan,2006,November,6,4980
456,USA,Afghanistan,2006,December,4,4980
457,USA,Afghanistan,2006,January,1,4980
458,USA,Afghanistan,2006,February,2,4980
459,USA,Afghanistan,2006,March,2,4980
460,USA,Afghanistan,2006,April,1,4980
461,USA,Afghanistan,2006,May,2,4980
462,USA,Afghanistan,2006,June,8,4980
463,USA,Afghanistan,2006,August,2,4980
464,USA,Afghanistan,2006,September,1,4980
465,USA,Afghanistan,2006,October,3,4980
466,USA,Afghanistan,2006,November,7,4980
467,USA,Afghanistan,2006,December,2,4980
468,Canada,Afghanistan,2007,January,48,6843
469,Canada,Afghanistan,2007,February,24,6843
470,Canada,Afghanistan,2007,March,12,6843
471,Canada,Afghanistan,2007,April,20,6843
472,Canada,Afghanistan,2007,May,17,6843
473,Canada,Afghanistan,2007,June,14,6843
474,Canada,Afghanistan,2007,July,14,6843
475,Canada,Afghanistan,2007,August,29,6843
476,Canada,Afghanistan,2007,September,28,6843
477,Canada,Afghanistan,2007,October,23,6843
478,Canada,Afghanistan,2007,November,21,6843
479,Canada,Afghanistan,2007,December,20,6843
480,France,Afghanistan,2007,January,7,6843
481,France,Afghanistan,2007,February,21,6843
482,France,Afghanistan,2007,March,11,6843
483,France,Afghanistan,2007,April,7,6843
484,France,Afghanistan,2007,May,11,6843
485,France,Afghanistan,2007,June,13,6843
486,France,Afghanistan,2007,July,17,6843
487,France,Afghanistan,2007,August,19,6843
488,France,Afghanistan,2007,September,8,6843
489,France,Afghanistan,2007,October,29,6843
490,France,Afghanistan,2007,November,9,6843
491,France,Afghanistan,2007,December,32,6843
492,UK,Afghanistan,2007,January,310,6843
493,UK,Afghanistan,2007,February,240,6843
494,UK,Afghanistan,2007,March,306,6843
495,UK,Afghanistan,2007,April,194,6843
496,UK,Afghanistan,2007,May,252,6843
497,UK,Afghanistan,2007,June,210,6843
498,UK,Afghanistan,2007,July,183,6843
499,UK,Afghanistan,2007,August,171,6843
500,UK,Afghanistan,2007,September,202,6843
501,UK,Afghanistan,2007,October,235,6843
502,UK,Afghanistan,2007,November,289,6843
503,UK,Afghanistan,2007,December,223,6843
504,Germany,Afghanistan,2007,January,21,6843
505,Germany,Afghanistan,2007,February,21,6843
506,Germany,Afghanistan,2007,March,39,6843
507,Germany,Afghanistan,2007,April,24,6843
508,Germany,Afghanistan,2007,May,26,6843
509,Germany,Afghanistan,2007,June,26,6843
510,Germany,Afghanistan,2007,July,26,6843
511,Germany,Afghanistan,2007,August,23,6843
512,Germany,Afghanistan,2007,September,26,6843
513,Germany,Afghanistan,2007,October,33,6843
514,Germany,Afghanistan,2007,November,42,6843
515,Germany,Afghanistan,2007,December,22,6843
516,USA,Afghanistan,2007,January,6,6843
517,USA,Afghanistan,2007,February,9,6843
518,USA,Afghanistan,2007,March,1,6843
519,USA,Afghanistan,2007,April,6,6843
520,USA,Afghanistan,2007,May,14,6843
521,USA,Afghanistan,2007,June,4,6843
522,USA,Afghanistan,2007,July,5,6843
523,USA,Afghanistan,2007,August,10,6843
524,USA,Afghanistan,2007,September,2,6843
525,USA,Afghanistan,2007,October,6,6843
526,USA,Afghanistan,2007,November,3,6843
527,USA,Afghanistan,2007,December,4,6843
528,USA,Afghanistan,2007,January,3,6843
529,USA,Afghanistan,2007,February,1,6843
530,USA,Afghanistan,2007,March,2,6843
531,USA,Afghanistan,2007,April,3,6843
532,USA,Afghanistan,2007,May,1,6843
533,USA,Afghanistan,2007,June,4,6843
534,USA,Afghanistan,2007,July,2,6843
535,USA,Afghanistan,2007,August,2,6843
536,USA,Afghanistan,2007,September,1,6843
537,USA,Afghanistan,2007,October,6,6843
538,USA,Afghanistan,2007,November,4,6843
539,USA,Afghanistan,2007,December,2,6843
540,Canada,Afghanistan,2008,January,30,5655
541,Canada,Afghanistan,2008,February,31,5655
542,Canada,Afghanistan,2008,March,22,5655
543,Canada,Afghanistan,2008,April,32,5655
544,Canada,Afghanistan,2008,May,29,5655
545,Canada,Afghanistan,2008,June,31,5655
546,Canada,Afghanistan,2008,July,34,5655
547,Canada,Afghanistan,2008,August,24,5655
548,Canada,Afghanistan,2008,September,58,5655
549,Canada,Afghanistan,2008,October,43,5655
550,Canada,Afghanistan,2008,November,40,5655
551,Canada,Afghanistan,2008,December,34,5655
552,France,Afghanistan,2008,January,16,5655
553,France,Afghanistan,2008,February,12,5655
554,France,Afghanistan,2008,March,16,5655
555,France,Afghanistan,2008,April,24,5655
556,France,Afghanistan,2008,May,14,5655
557,France,Afghanistan,2008,June,15,5655
558,France,Afghanistan,2008,July,14,5655
559,France,Afghanistan,2008,August,24,5655
560,France,Afghanistan,2008,September,31,5655
561,France,Afghanistan,2008,October,31,5655
562,France,Afghanistan,2008,November,26,5655
563,France,Afghanistan,2008,December,40,5655
564,UK,Afghanistan,2008,January,299,5655
565,UK,Afghanistan,2008,February,321,5655
566,UK,Afghanistan,2008,March,250,5655
567,UK,Afghanistan,2008,April,267,5655
568,UK,Afghanistan,2008,May,250,5655
569,UK,Afghanistan,2008,June,242,5655
570,UK,Afghanistan,2008,July,379,5655
571,UK,Afghanistan,2008,August,291,5655
572,UK,Afghanistan,2008,September,358,5655
573,UK,Afghanistan,2008,October,407,5655
574,UK,Afghanistan,2008,November,347,5655
575,UK,Afghanistan,2008,December,320,5655
576,Germany,Afghanistan,2008,January,44,5655
577,Germany,Afghanistan,2008,February,52,5655
578,Germany,Afghanistan,2008,March,23,5655
579,Germany,Afghanistan,2008,April,36,5655
580,Germany,Afghanistan,2008,May,31,5655
581,Germany,Afghanistan,2008,June,31,5655
582,Germany,Afghanistan,2008,July,37,5655
583,Germany,Afghanistan,2008,August,56,5655
584,Germany,Afghanistan,2008,September,88,5655
585,Germany,Afghanistan,2008,October,81,5655
586,Germany,Afghanistan,2008,November,76,5655
587,Germany,Afghanistan,2008,December,95,5655
588,Italy,Afghanistan,2008,January,215,5655
589,Italy,Afghanistan,2008,February,105,5655
590,Italy,Afghanistan,2008,March,184,5655
591,Italy,Afghanistan,2008,April,173,5655
592,Italy,Afghanistan,2008,May,215,5655
593,Italy,Afghanistan,2008,June,185,5655
594,Italy,Afghanistan,2008,July,126,5655
595,Italy,Afghanistan,2008,August,214,5655
596,Italy,Afghanistan,2008,September,135,5655
597,Italy,Afghanistan,2008,October,150,5655
598,Italy,Afghanistan,2008,November,165,5655
599,Italy,Afghanistan,2008,December,138,5655
600,USA,Afghanistan,2008,January,4,5655
601,USA,Afghanistan,2008,February,2,5655
602,USA,Afghanistan,2008,March,6,5655
603,USA,Afghanistan,2008,April,4,5655
604,USA,Afghanistan,2008,May,5,5655
605,USA,Afghanistan,2008,June,1,5655
606,USA,Afghanistan,2008,July,7,5655
607,USA,Afghanistan,2008,August,13,5655
608,USA,Afghanistan,2008,September,4,5655
609,USA,Afghanistan,2008,October,4,5655
610,USA,Afghanistan,2008,November,1,5655
611,USA,Afghanistan,2008,December,2,5655
612,USA,Afghanistan,2008,March,2,5655
613,USA,Afghanistan,2008,May,2,5655
614,USA,Afghanistan,2008,June,2,5655
615,USA,Afghanistan,2008,July,3,5655
616,USA,Afghanistan,2008,August,2,5655
617,USA,Afghanistan,2008,September,3,5655
618,USA,Afghanistan,2008,October,1,5655
619,USA,Afghanistan,2008,November,5,5655
620,Canada,Afghanistan,2009,January,36,6381
621,Canada,Afghanistan,2009,February,17,6381
622,Canada,Afghanistan,2009,March,32,6381
623,Canada,Afghanistan,2009,April,14,6381
624,Canada,Afghanistan,2009,May,32,6381
625,Canada,Afghanistan,2009,June,68,6381
626,Canada,Afghanistan,2009,July,51,6381
627,Canada,Afghanistan,2009,August,37,6381
628,Canada,Afghanistan,2009,September,38,6381
629,Canada,Afghanistan,2009,October,31,6381
630,Canada,Afghanistan,2009,November,25,6381
631,Canada,Afghanistan,2009,December,29,6381
632,France,Afghanistan,2009,January,22,6381
633,France,Afghanistan,2009,February,29,6381
634,France,Afghanistan,2009,March,29,6381
